title,author,country,n_pos_sents,n_neg_sents,n_neu_sents
"Karnataka: Helplines, isolation wards set up for coronavirus - Udayavani",Udayavani,IN,2,4,2
Health dept. monitoring 24 people for possible infection,,US,0,1,2
,jmccorm,US,0,2,0
Asian Markets Mostly Higher,rttnews.com,US,7,4,11
Tesla soars as bearish analysts left with little to highlight - BNN Bloomberg,Joe Easton,CA,2,14,8
Last flights from Beijing & Shanghai - Video - CityNews Montreal,,CA,1,6,10
,Accujack,US,1,7,3
CSL postponed due to coronavirus,Loop Pacific,DE,1,5,4
Global markets hit hard as indices catch Wuhan flu; Sensex falls 285 pts,Jash Kriplani,IN,4,10,9
DOH-Cordillera monitors man from China amid novel coronavirus scare,,US,2,7,6
AP T Officials Discuss Pending Issues In AP Reorganisation Act,Laxmikanth,US,0,1,0
First Canadian coronavirus patient discharged from hospital,The Canadian Press,US,0,8,2
Coronavirus declared global health emergency by WHO,Loop Pacific,DE,6,19,6
Why the 'devil' coronavirus has hit European stocks hard,,IN,2,9,4
Coronavirus live updates: WHO declares global emergency as deaths rise to 213 – latest | World news | The Guardian,Alison Rourke,US,9,65,26
LIVE: Transfer deadline day,,GB,39,44,64
Shots fired: SUV breaches security at Mar-a-Lago; 2 in custody,CNN.com Wire Service,US,0,5,0
Asia Stock Slide May Halt After Late U.S. Rally: Markets Wrap - BNN,Bloomberg News,CA,8,9,13
Your Evening Briefing,Bloomberg News,CA,7,10,9
Chicago woman infects spouse with coronavirus in 1st human-to-human spread in US | 8News,,US,4,8,6
"Opinion: The line between us: For Chinese-Canadians like me, coronavirus is just the latest strain of infectious fear we’ve faced",theglobeandmail.com,CA,19,56,25
Dow plummets 600 points in worst day since August as coronavirus fears grow,CNBC,US,2,6,5
WHO Declares Global Emergency as Human-to-Human Transmission Found in US,neha1985,US,2,9,4
WHO Delcares Virus a Global Emergency,dtnpf.com,AU,6,29,13
Shanghai Chinese Orchestra performs in Muscatine despite Coronavirus concerns,,US,8,12,6
Fake news on social media creates panic regarding coronavirus,,TV,16,40,13
"Updated Photos: Gokada, Max riders protest motorcycle ban - The Capital Metro",,US,0,0,2
Kenya Airways suspends flights to China amid coronavirus outbreak -,"Bukola Adebayo and Radina Gigova, CNN",US,0,8,6
Shinfield schoolchildren display artwork on Parsons Grange care home,,GB,3,4,1
"Fallout from coronavirus expected to have a ripple effect on coal, iron-ore – by Kim Cloete (MiningWeekly.com – January 31, 2020)",Stan,US,1,7,3
Why They're Called 'Wet Markets' — And What Health Risks They Might Pose,Jason Beaubien,US,11,26,15
WATCH: Paul George narrates Clippers' tribute for Kobe Bryant Sports,inquirer.net,PH,14,8,7
,WayTruthLifeJesus,US,0,2,2
Cyprus treats first suspected case of coronavirus,,US,4,5,0
First Canadian coronavirus patient discharged from hospital,The Canadian Press,US,0,8,2
AI special plane to evacuate Indians from Wuhan,Nagpur News,IN,1,1,2
China takes various measures to combat novel coronavirus(1),,CN,1,0,2
MU bans trips to China during outbreak,From staff and wire reports,US,2,19,6
China trade agency to offer firms force majeure certificates amid coronavirus outbreak,Reuters,US,2,8,2
Virus 'spreads more like flu than measles',AAP Newswire (aap@cognitives.io),AU,1,11,7
First Canadian coronavirus patient discharged from hospital,The Canadian Press,CA,0,8,2
Strict health protocols imposed at SA ports to curb spread of coronavirus,,ZA,0,9,10
First Canadian coronavirus patient discharged from hospital,The Canadian Press,US,0,8,2
First coronavirus infections identified in Russia,news@vestikavkaza.ru (Vestnik Kavkaza),RU,1,6,3
Can Economic Survey 2020 become lighthouse for India’s growth? Here’s what economists say,Samrat Sharma,US,1,11,11
Jonathan is still the President according to Nigerian Embassy in China website - Market Digest Nigeria,Market Digest Nigeria,US,0,6,2
Timeline: Twists and turns in Aston Martin's long history,admin,US,0,0,1
Diamond Wipes' HandyClean™ Steridol® Wipes Confirmed Effective Against Coronavirus,PRNewswire,US,5,6,5
Singapore's Novena Global Lifecare donates one million masks & other medical supplies to support fight against coronavirus in China,,SG,2,17,6
Mayor Isko says more face masks for distribution in Manila after 1st confirmed nCoV case in PH,mb.com.ph,PH,1,9,4
Hubei adds 70 rural medical facilities against epidemic,Hernan Porras Molina,VE,1,4,3
#Showbiz: BlackPink's Lisa cancels filming in China,Aref Omar,MY,0,5,3
Thailand to charter commercial flight to evacuate Thai people from Wuhan,Kitipat Chuensukjit,US,1,7,3
Cape Breton MP named to health committee | Canada | News | SaltWire,,CA,0,6,2
"As Coronavirus Spreads, Airlines Cancel Flights And Businesses Shut Shops",,DE,1,7,3
"New Delhi, 31 -- A day after Government of India establ",htsyndication.com,IN,0,4,1
WHO Declares Coronavirus Outbreak A Global Health Emergency,Merrit Kennedy,US,6,28,22
Canada negotiates airlift as WHO declares coronavirus global health emergency,Maarten Schenk,NL,1,1,0
Additional measures to fight new coronavirus to be discussed on Jan. 31 — Golikova,,RU,1,7,3
Virus victim on Qld flight with 171 others,AAP Newswire (aap@cognitives.io),AU,3,14,2
"WHO says novel coronavirus outbreak a global health emergency, disfavors travel and trade restrictions - People's Daily Online",,CN,7,9,6
Workers back to work early to ensure ambulances supply in Qingdao - People's Daily Online,,CN,0,0,3
Coronavirus to hit Australian sectors,AAP Newswire (aap@cognitives.io),AU,1,6,3
Breaking: Chinese NBS Manufacturing PMI (Jan): 50 vs 50 expected (AUD rises slightly),,US,5,9,15
"All stocked up, electronics makers see no immediate hit from virus",Prasid Banerjee,IN,4,15,8
FTSE 100 finishes firmly in red as strong pound weighs,,GB,20,76,39
,kayanatwo,PH,0,6,1
WHO declares global virus emergency after deadliest day for China,Sébastien RICCI,US,9,20,13
Coronavirus Polling Higher Than All Presidential Candidates,The Babylon Bee,US,2,0,0
"Anastasiades, Akinci to meet on Monday for coronavirus cooperation",,DE,1,3,4
Budget impact since 2014: How much rich budget announcements have made you since 2014,Amitava Chakrabarty,US,0,6,2
Toronto patient with 1st confirmed case of coronavirus discharged from hospital,Derek Craddock,CA,1,5,1
Coronavirus crisis: Brits in limbo on returning home after postponed evacuation from China,Rebecca Speare-Cole,IE,5,21,2
